images,gender,cat,sub-cat,types,colour,season,year,usage,product
11594,Men,Apparel,Bottomwear,Track Pants,Blue,Fall,2010,Sports,Reebok Track Pants Jet Black
11595,Women,Apparel,Topwear,Sweatshirts,Pink,Fall,2010,Sports,Reebok Women Boat-Neck Wildberry Sweatshirt
11596,Women,Apparel,Topwear,Jackets,Navy Blue,Summer,2011,Casual,Reebok Navy Jacket
11597,Women,Apparel,Topwear,Jackets,Black,Summer,2010,Sports,Reebok Knit Rib Women Black Jacket
11598,Men,Apparel,Topwear,Tshirts,White,Fall,2010,Casual,Reebok Orange & White Striped Polo T-shirt
11599,Men,Apparel,Topwear,Tshirts,White,Fall,2010,Casual,Reebok Men White Polo Tshirt
11600,Men,Apparel,Topwear,Tshirts,White,Fall,2010,Sports,Reebok T-shirt White Polo Tshirt
11601,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2010,Casual,Reebok Men Navy Blue Polo T-shirt
11602,Men,Apparel,Topwear,Tshirts,White,Summer,2010,Sports,Reebok Men's Shoot White T-Shirt
11603,Men,Apparel,Topwear,Tshirts,Red,Fall,2010,Sports,Reebok Men Shoot T-Shirt Red
11604,Men,Footwear,Shoes,Sports Shoes,White,Summer,2010,Sports,Reebok Men United Runner White
11605,Men,Apparel,Bottomwear,Shorts,Grey,Fall,2010,Sports,Reebok Men Micro Shorts Grey and White
11606,Men,Apparel,Bottomwear,Shorts,Blue,Fall,2010,Sports,Reebok Men Micro Shorts
11607,Men,Apparel,Bottomwear,Shorts,Grey,Fall,2010,Sports,Reebok Men Micro Shorts Black and White
11608,Men,Apparel,Topwear,Jackets,Navy Blue,Summer,2016,Casual,Reebok Navy Knit Rib Jacket
11609,Unisex,Accessories,Bags,Backpacks,Red,Summer,2011,Casual,Reebok Unisex Red Backpack
11610,Unisex,Accessories,Bags,Backpacks,Black,Summer,2011,Sports,Reebok Silver-Black Laptop Backpack
11611,Men,Apparel,Topwear,Tshirts,Red,Fall,2010,Sports,Domyos Men Quick Dry T-shirt
11612,Unisex,Sporting Goods,Sports Equipment,Footballs,Blue,Summer,2011,Sports,Kipsta F300 Football Size 5 Football
11613,Unisex,Sporting Goods,Sports Equipment,Footballs,White,Fall,2010,Sports,Kipsta F300 Football
11614,Unisex,Sporting Goods,Sports Equipment,Basketballs,Brown,Summer,2011,Sports,Kipsta Xtra Bounce Basketball
11615,Men,Footwear,Shoes,Sports Shoes,White,Fall,2010,Sports,Inesis Water Repellent Canaveral Shoes
11616,Unisex,Footwear,Shoes,Casual Shoes,Red,Spring,2011,Casual,Newfeel Unisex Red Comfy Shoes
11617,Men,Footwear,Shoes,Sports Shoes,White,Fall,2010,Sports,Nike Men Air Zoom Century Shoes
11618,Men,Footwear,Shoes,Sports Shoes,White,Fall,2010,Sports,Nike Men White Cricket Shoes
11619,Unisex,Apparel,Bottomwear,Swimwear,Blue,Fall,2010,Sports,Nabaiji Swimming Goggles Blue Black
11620,Men,Footwear,Shoes,Sports Shoes,Silver,Fall,2010,Sports,Reebok Men's Hex Run Pure Silver Shoe
11621,Men,Footwear,Shoes,Sports Shoes,White,Fall,2010,Sports,Reebok Men Winning Stride White Red
11622,Men,Apparel,Topwear,Tshirts,Red,Fall,2010,Sports,Kipsta Men Loose Fit Round Neck Jersey Red
11623,Men,Apparel,Topwear,Tshirts,Black,Fall,2010,Sports,Kipsta Men Loose Fit Round Neck Jersey Black
11624,Women,Accessories,Bags,Backpacks,Grey,Summer,2011,Sports,Quechua Ultralight Backpack 16 Ltr Grey Bag
11625,Unisex,Accessories,Bags,Backpacks,Green,Summer,2011,Sports,Quechua Unisex Ultralight 16 Ltr Green Backpack
11626,Women,Accessories,Bags,Backpacks,Pink,Summer,2011,Travel,Quechua  Ultralight Backpack Purple 16 ltr Bag
11627,Unisex,Footwear,Shoes,Casual Shoes,Blue,Spring,2012,Casual,Newfeel Unisex Comfy Cool Blue Shoe
11628,Women,Apparel,Topwear,Tshirts,Pink,Fall,2010,Sports,Domyos Women Style Pink T-shirt
11629,Men,Footwear,Shoes,Sports Shoes,Brown,Summer,2010,Sports,Reebok Men's Ventilator Ubiq Shoe
11630,Men,Footwear,Shoes,Sports Shoes,White,Fall,2010,Sports,Reebok Men's Frisker LP Shoe
11631,Unisex,Accessories,Headwear,Caps,Blue,Summer,2012,Sports,Nike Unisex Odi Day Cap
11632,Men,Footwear,Shoes,Sports Shoes,White,Fall,2010,Sports,Reebok Men's White High Wire Shoe
11633,Men,Apparel,Topwear,Jackets,Blue,Fall,2012,Sports,Nike Men Windrunner Blue Jacket
11634,Men,Apparel,Topwear,Jackets,Navy Blue,Fall,2012,Sports,Nike Men Blue Windrunner Jacket
11635,Men,Apparel,Topwear,Tshirts,Red,Fall,2010,Casual,Reebok Men Playdry Full Sleeved T-shirt Red
11636,Men,Apparel,Topwear,Tshirts,Grey,Fall,2010,Casual,Reebok Men Green Polo T-shirt
11637,Men,Apparel,Topwear,Tshirts,Black,Fall,2010,Casual,Reebok Men Black Polo T-shirt
11638,Men,Apparel,Topwear,Tshirts,Black,Fall,2010,Sports,Reebok Mens Lagoon Black T-shirt
11639,Men,Apparel,Topwear,Tshirts,Green,Fall,2010,Casual,Reebok Men Play Hard Cotton Green T-shirt
11640,Men,Apparel,Topwear,Tshirts,Blue,Fall,2010,Casual,Reebok Men Blue Polo T-shirt
11641,Unisex,Accessories,Bags,Backpacks,Black,Fall,2010,Sports,Puma Deck Black Backpack
11642,Unisex,Footwear,Shoes,Casual Shoes,Black,Winter,2015,Casual,Newfeel Unisex Black Lightweight Shoes
11643,Unisex,Footwear,Shoes,Sports Shoes,Green,Fall,2010,Sports,Newfeel Unisex Green Sports Shoes
11644,Unisex,Footwear,Shoes,Casual Shoes,White,Spring,2011,Casual,Newfeel Unisex White Shoes
11645,Women,Footwear,Shoes,Sports Shoes,Black,Fall,2010,Sports,Reebok Women Black Pink Frisker Shoe
11646,Women,Footwear,Shoes,Sports Shoes,White,Fall,2010,Sports,Reebok Women White Blue Frisker Shoes
11647,Men,Apparel,Topwear,Tshirts,Red,Fall,2010,Sports,Lotto Men Red Epic T-shirt
11648,Men,Apparel,Topwear,Tshirts,Black,Fall,2010,Sports,Lotto Men Marcello Black T-shirt
11649,Men,Apparel,Topwear,Tshirts,Red,Fall,2010,Casual,Lotto Men Jasper Street Red T-shirt
11650,Men,Apparel,Topwear,Tshirts,White,Fall,2010,Sports,Lotto Men White Polo T-shirt
11651,Men,Apparel,Topwear,Tshirts,Black,Fall,2010,Sports,Lotto Men Polo Slate Black Rugby T-shirt
11652,Men,Apparel,Topwear,Jackets,White,Fall,2010,Sports,Lotto Men White Collared Jacket
11653,Men,Apparel,Topwear,Tshirts,Grey,Fall,2010,Sports,Lotto Men Epic Grey T-shirt
11654,Men,Apparel,Topwear,Tshirts,White,Fall,2010,Sports,Lotto Men Marcello White T-shirt
11655,Women,Apparel,Topwear,Tshirts,Blue,Fall,2010,Sports,Lotto Women Cathy Blue T-shirt
11656,Women,Apparel,Topwear,Tshirts,Pink,Summer,2011,Casual,Lotto Women Cathy Pink T-shirt
11657,Women,Apparel,Bottomwear,Track Pants,Black,Fall,2010,Sports,Lotto Women Mid Cathy Track Pants
11658,Women,Apparel,Topwear,Tshirts,White,Fall,2010,Casual,Lotto Women White T-shirt
11659,Men,Apparel,Topwear,Tshirts,Blue,Fall,2010,Casual,Inesis Men Blue Polo T-shirt
11660,Men,Footwear,Shoes,Sports Shoes,Black,Fall,2010,Sports,Kalenji Men's Kapteren Black Shoe
11661,Men,Footwear,Sandal,Sandals,Grey,Spring,2011,Sports,Quechua Men Grey Sandal
11662,Men,Footwear,Shoes,Sports Shoes,White,Fall,2010,Sports,Lotto Men's Melbourne White-Red Shoe
11663,Men,Footwear,Shoes,Sports Shoes,White,Fall,2010,Sports,Lotto Men Brighton White-Blue Shoe
11664,Men,Footwear,Shoes,Sports Shoes,White,Fall,2010,Sports,Lotto Men's Court Logo White Shoe
11665,Men,Footwear,Shoes,Sports Shoes,White,Fall,2010,Sports,Lotto Men Court Logo White-Silver Shoe
11666,Men,Footwear,Shoes,Sports Shoes,White,Fall,2010,Sports,Lotto Men's Court-White-Blue Shoe
11667,Men,Footwear,Shoes,Sports Shoes,Orange,Fall,2010,Sports,Lotto Men OSLO Grey-Orange Shoe
11668,Unisex,Accessories,Bags,Backpacks,Beige,Fall,2010,Sports,Quechua Unisex Ultralight Beige Bag
11669,Unisex,Accessories,Bags,Backpacks,Black,Summer,2011,Sports,Quechua 10L Black Bag
11670,Unisex,Accessories,Bags,Backpacks,Blue,Summer,2011,Sports,Newfeel Marine Blue Bag
11671,Unisex,Accessories,Bags,Backpacks,Green,Summer,2011,Travel,Quechua 10L Green Bag
11672,Unisex,Accessories,Bags,Backpacks,Brown,Summer,2011,Sports,Newfeel Brown 22L Bag
11673,Men,Accessories,Bags,Backpacks,Black,Fall,2010,Sports,Newfeel 22L Black Bag
11674,Men,Apparel,Topwear,Tshirts,Blue,Fall,2010,Sports,Domyos Men Performance Blue T-shirt
11675,Men,Apparel,Topwear,Tshirts,Black,Fall,2010,Sports,Domyos Men Slt Compression T-shirt
11676,Men,Apparel,Bottomwear,Track Pants,White,Summer,2011,Sports,Domyos Men Blue & White Tracksuit
11677,Unisex,Accessories,Bags,Backpacks,Black,Summer,2011,Sports,Quechua Unisex Black Solid Backpack
11678,Women,Accessories,Bags,Backpacks,Pink,Summer,2011,Sports,Quechua Women 10L Pink Bag
11679,Men,Footwear,Shoes,Sports Shoes,Brown,Spring,2011,Sports,Quechua Men's Arpenaz Flex Yellow Shoe
11680,Unisex,Apparel,Topwear,Tshirts,Black,Fall,2010,Sports,Tribord Unisex Black T-shirt
11681,Men,Apparel,Bottomwear,Shorts,Black,Fall,2010,Sports,Kalenji Men Essential Baggy Black Shorts
11682,Men,Footwear,Shoes,Casual Shoes,Beige,Fall,2010,Casual,Quechua Men Forclaz 1OO Beige Shoe
11683,Men,Footwear,Sandal,Sandals,Brown,Spring,2011,Casual,Quechua Men Arpenaz Brown Sandal
11684,Men,Apparel,Topwear,Tshirts,Red,Fall,2010,Casual,Quechua Men G1 Techfresh Red T-shirt
11685,Unisex,Accessories,Water Bottle,Water Bottle,Purple,Fall,2010,Sports,Quechua Aluminium Print Water Bottle
11686,Women,Apparel,Topwear,Tshirts,Blue,Fall,2010,Sports,Decathlon Profilter Women Blue T-shirt
11687,Men,Apparel,Topwear,Tshirts,Red,Fall,2010,Sports,Tribord Profilter Red Men T-shirt
11688,Men,Apparel,Topwear,Tshirts,Orange,Fall,2010,Sports,Solognac Men Orange T-shirt
11689,Men,Apparel,Topwear,Tshirts,Green,Fall,2010,Sports,Solognac Men Green T-shirt
11690,Men,Apparel,Topwear,Tshirts,Blue,Fall,2010,Sports,Solognac Men Dark Blue T-shirt
11691,Men,Apparel,Topwear,Tshirts,Brown,Fall,2010,Sports,Solognac Men Chocolate Brown  T-shirt
11692,Men,Footwear,Shoes,Sports Shoes,White,Fall,2010,Sports,Nike Men's Downshifter White/Blue Shoe
11693,Men,Footwear,Shoes,Sports Shoes,White,Fall,2010,Sports,Nike Men's Air Afterburner Shoe
11694,Men,Footwear,Shoes,Sports Shoes,Black,Fall,2010,Sports,Nike Men's Air Impetus Shoe
11695,Men,Footwear,Shoes,Sports Shoes,Black,Fall,2010,Sports,Nike Lunarswift Shoe
11696,Men,Footwear,Shoes,Sports Shoes,Black,Fall,2010,Sports,Nike Men's Ballista Shoe
11697,Men,Footwear,Shoes,Sports Shoes,Silver,Fall,2010,Sports,Nike Air Visi Sleek Shoes
11698,Men,Footwear,Shoes,Sports Shoes,White,Fall,2010,Sports,Puma Men's Calibre Convertible Spike Shoe
11699,Men,Footwear,Shoes,Sports Shoes,White,Fall,2010,Sports,Puma Men's Calibre Rubber Shoe
11700,Men,Apparel,Topwear,Tshirts,Blue,Summer,2011,Casual,Inkfruit Mens D day T-shirt
11701,Men,Apparel,Topwear,Tshirts,Blue,Summer,2011,Casual,Inkfruit Mens Surfer T-shirt
11702,Men,Apparel,Topwear,Tshirts,Blue,Summer,2011,Casual,Inkfruit Men Buddha Bless You T-shirt
11703,Men,Apparel,Topwear,Tshirts,Blue,Summer,2011,Casual,Inkfruit Mens Messy T-shirt
11704,Men,Apparel,Topwear,Tshirts,Black,Summer,2011,Casual,Inkfruit Men Wolf
11705,Men,Apparel,Topwear,Tshirts,White,Summer,2011,Casual,Inkfruit Mens Unbreakable Mumbai T-shirt
11706,Men,Apparel,Topwear,Tshirts,Blue,Summer,2011,Casual,Inkfruit Men Ride It Or Die T-shirt
11707,Men,Apparel,Topwear,Tshirts,Yellow,Summer,2011,Casual,Inkfruit Mens Little Bit More T-shirt
11708,Men,Apparel,Topwear,Tshirts,Purple,Summer,2011,Casual,Inkfruit Mens Pencho T-shirt
11709,Men,Apparel,Topwear,Tshirts,Grey,Summer,2011,Casual,Inkfruit Mens Chain Reaction T-shirt
11710,Men,Apparel,Topwear,Tshirts,Red,Summer,2011,Casual,Inkfruit Men Rebel Without a Clue T-shirt
11711,Men,Apparel,Topwear,Tshirts,Black,Summer,2011,Casual,Inkfruit Mens Life After Midnight T-shirt
11712,Men,Apparel,Topwear,Tshirts,Red,Summer,2011,Casual,Inkfruit Men Eye Opener T-shirt
11713,Men,Apparel,Topwear,Tshirts,Grey,Summer,2011,Casual,Inkfruit Mens Shiva T-shirt
11714,Men,Apparel,Topwear,Tshirts,White,Summer,2011,Casual,Inkfruit Men Graff Wars T-shirt
11715,Men,Apparel,Topwear,Tshirts,Grey,Summer,2011,Casual,Inkfruit Mens Urban Warfare T-shirt
11716,Men,Apparel,Topwear,Tshirts,Black,Summer,2011,Casual,Inkfruit Men Night Wolf T-shirt
11717,Men,Apparel,Topwear,Tshirts,White,Summer,2011,Casual,Inkfruit Men Operation Kick
11718,Men,Apparel,Topwear,Tshirts,Maroon,Summer,2011,Casual,Inkfruit Mens My Pet T-shirt
11719,Men,Apparel,Topwear,Tshirts,Blue,Summer,2011,Casual,Inkfruit Men Nayak Nahi T-shirt
11720,Men,Apparel,Topwear,Tshirts,White,Summer,2011,Casual,Inkfruit Mens Facebook Like T-shirt
11721,Men,Apparel,Topwear,Tshirts,Navy Blue,Winter,2010,Casual,FIFA Mens 1904 Navy Blue T-shirt
11722,Men,Apparel,Topwear,Tshirts,Black,Winter,2010,Casual,FIFA Mens 1990 World Cup Black T-shirt
11723,Men,Apparel,Topwear,Tshirts,White,Winter,2010,Casual,FIFA Mens 1990 World Cup White T-shirt
11724,Men,Apparel,Topwear,Tshirts,White,Winter,2010,Casual,FIFA Mens 1962 World Cup White T-shirt
11725,Men,Apparel,Topwear,Tshirts,Green,Winter,2010,Casual,FIFA Mens 1990 World Cup Edition T-shirt
11726,Men,Apparel,Topwear,Tshirts,White,Winter,2010,Casual,FIFA Mens Mexican Wave White T-shirt
11727,Men,Apparel,Topwear,Tshirts,Grey,Winter,2010,Casual,FIFA Mens Mexican Wave Grey T-shirt
11728,Men,Apparel,Topwear,Tshirts,Red,Winter,2010,Casual,FIFA Mens 1982 Spain Red T-shirt
11729,Men,Apparel,Topwear,Tshirts,Black,Winter,2010,Casual,FIFA Mens World Cup Champions Black T-shirt
11730,Men,Apparel,Topwear,Tshirts,Grey,Winter,2010,Casual,FIFA Mens France 1938 Grey T-shirt
11731,Men,Apparel,Topwear,Tshirts,Red,Winter,2010,Casual,FIFA Mens Code Collection Red T-shirt
11732,Men,Apparel,Bottomwear,Track Pants,Grey,Winter,2010,Casual,FIFA Mens Heritage Collection Grey Track Pants
11733,Men,Apparel,Bottomwear,Track Pants,Navy Blue,Winter,2010,Casual,FIFA Mens 1905 Heritage Collection Track Pants
11734,Men,Apparel,Bottomwear,Shorts,Grey,Winter,2010,Casual,FIFA Mens 1904 Heritage Shorts
11735,Men,Apparel,Topwear,Tshirts,Grey,Winter,2010,Casual,FIFA Mens Red Card Grey T-shirt
11736,Men,Apparel,Topwear,Tshirts,Green,Winter,2010,Casual,FIFA Mens Essentials Green T-shirt
11737,Men,Apparel,Topwear,Tshirts,Black,Winter,2010,Casual,FIFA Mens Essentials Black T-shirt
11738,Men,Apparel,Topwear,Tshirts,Navy Blue,Winter,2010,Casual,Fifa Men Essentials Navy Blue T-shirt
11739,Men,Apparel,Topwear,Tshirts,Red,Winter,2010,Casual,FIFA Mens Essentials Red T-shirt
11740,Men,Apparel,Topwear,Tshirts,White,Winter,2010,Casual,FIFA Mens Essentials White T-shirt
11741,Men,Apparel,Topwear,Sweatshirts,Blue,Winter,2010,Casual,FIFA Men Full Sleeves Hoody Sweatshirt
11742,Men,Apparel,Topwear,Sweatshirts,Black,Winter,2010,Casual,FIFA Men Full Sleeves Hoody Sweatshirt
11743,Men,Apparel,Topwear,Tshirts,Blue,Winter,2010,Sports,FIFA Men Germany Blue Jersey
11744,Men,Apparel,Topwear,Tshirts,Blue,Winter,2010,Sports,FIFA Men Blue Jersey
11745,Men,Apparel,Topwear,Tshirts,Yellow,Winter,2010,Sports,FIFA Men Brazil Yellow Jersey
11746,Men,Apparel,Topwear,Tshirts,Blue,Winter,2010,Sports,FIFA Men Brazil Blue & Yellow Jersey
11747,Men,Apparel,Topwear,Tshirts,Blue,Winter,2010,Casual,FIFA Mens 1904 Football Federation T-shirt
11748,Men,Apparel,Topwear,Tshirts,Cream,Winter,2010,Casual,FIFA Mens 1905 Football Federation T-shirt
11749,Men,Apparel,Topwear,Tshirts,Black,Fall,2010,Sports,Nike Mens Classic Black T-shirt
11750,Men,Apparel,Topwear,Tshirts,Blue,Fall,2010,Sports,Nike Mens Classic Sportswear T-shirt
11751,Men,Apparel,Topwear,Tshirts,Black,Fall,2010,Sports,Nike Men's Classic Patterned T-shirt
11752,Men,Apparel,Topwear,Tshirts,Blue,Fall,2010,Sports,Nike Mens Manchester United Blues T-shirt
11753,Men,Apparel,Topwear,Tshirts,White,Fall,2010,Sports,Nike Mens Running White T-shirt
11754,Men,Apparel,Topwear,Tshirts,Black,Fall,2010,Sports,Nike Mens Seize Victory Black T-shirt
11755,Unisex,Accessories,Accessories,Water Bottle,Yellow,Summer,2011,Casual,Quechua Yellow Sipper
11756,Men,Footwear,Shoes,Sports Shoes,Black,Fall,2011,Sports,Puma Men's Game Point Shoes
11757,Men,Footwear,Shoes,Casual Shoes,White,Fall,2010,Casual,Puma Men White Sneakers
11758,Unisex,Accessories,Bags,Backpacks,Blue,Fall,2010,Sports,Domyos 300 Blue Bag
11759,Men,Footwear,Shoes,Casual Shoes,Brown,Fall,2010,Casual,Puma Men's Choco Brown Casual Shoes
11760,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2011,Casual,Puma Men Graffiti FX Shoes
11761,Men,Apparel,Topwear,Tshirts,Black,Fall,2010,Sports,Puma Mens Slim Fit Black Polo T-shirt
11762,Women,Footwear,Shoes,Sports Shoes,White,Fall,2010,Sports,Kalenji Women Running Shoe
11763,Men,Apparel,Topwear,Tshirts,White,Fall,2010,Sports,Puma Mens Racing White T-shirt
11764,Unisex,Accessories,Bags,Backpacks,Black,Fall,2010,Sports,Quechua Black Bag
11765,Men,Apparel,Topwear,Tshirts,Blue,Fall,2010,Casual,Puma Mens Ocean Racing Blues T-shirt
11766,Unisex,Accessories,Bags,Backpacks,Navy Blue,Summer,2011,Sports,Domyos Navy Blue Bag
11767,Men,Apparel,Topwear,Tshirts,Green,Fall,2010,Casual,Puma Mens One Love T-shirt
11768,Men,Footwear,Shoes,Sports Shoes,Black,Fall,2010,Sports,Quechua Men's Lighweight Black Shoe
11769,Unisex,Accessories,Bags,Backpacks,Red,Fall,2010,Sports,Quechua 22L Red Bag
11770,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2010,Casual,Puma Men's Jamaica Jam Navy Blue T-shirt
11771,Women,Footwear,Shoes,Casual Shoes,Grey,Fall,2010,Casual,Quechua Women Arpenaz Flex Grey Shoe
11772,Unisex,Accessories,Bags,Backpacks,Grey,Fall,2010,Sports,Quechua Arpenaz 20L Dark Grey Bag
